5000 30000
1664 4517 2
182 1257 10
53 3050 4
1952 2236 2
3838 1374 3
2975 3664 10
3379 1877 4
3005 122 4
2377 3179 9
4026 1024 7
2141 1275 9
313 2448 3
3139 4750 10
1260 866 6
2511 384 6
4658 2234 1
2984 4600 10
2890 2601 7
3086 3184 8
1796 399 4
1207 4290 2
1392 3336 8
974 4073 6
1961 1078 5
1810 3771 7
1290 1329 8
4047 1392 3
2943 2715 1
1450 1035 5
1459 2008 3
1302 896 5
914 3144 7
879 502 7
1931 1183 4
4040 672 2
3962 1399 8
846 2404 7
1373 3779 3
3652 2556 7
3672 2391 6
300 968 3
113 1640 10
2626 1902 8
2557 2653 3
4459 4207 6
4535 4801 7
4487 301 8
914 2046 1
674 3034 5
4781 1402 2
1707 877 7
990 498 6
4042 4823 8
2730 178 8
2637 672 2
3621 3268 7
134 4212 8
2283 1763 6
1501 990 4
1413 3335 8
3515 406 6
1516 4380 7
1706 1193 2
1399 675 5
3249 800 3
610 218 6
1597 4691 9
587 672 1
761 2790 7
3857 2442 4
494 4834 10
4683 2058 8
1256 2956 9
4121 2018 2
662 4364 10
3932 2343 9
3523 2354 7
926 257 3
1358 2295 6
3490 941 4
2548 1946 8
967 2516 10
4078 4747 5
147 4047 10
1628 3581 6
629 43 9
2128 4036 10
3342 2250 5
4937 4569 10
1008 3604 10
1214 4770 5
3980 1907 5
3305 1647 10
2142 2758 6
2129 211 10
1678 4764 10
4336 3060 5
3132 2017 3
1348 4322 7
4041 3431 4
1679 1181 2
4850 1756 7
4521 985 3
2511 2746 9
4679 472 4
4665 4503 8
738 4820 7
4927 1420 3
3741 503 6
1616 1699 8
3275 3407 5
2184 3279 8
4253 4312 8
4111 479 9
1734 243 3
369 3127 3
1188 4114 10
4842 1028 6
3175 2779 2
3291 4929 8
4353 4578 9
449 923 8
4202 3741 8
4170 1192 8
4205 1822 3
694 1214 6
4986 3879 6
3633 4436 7
4339 2817 5
144 301 6
1668 3479 8
1549 2692 3
4953 4960 2
4432 1346 7
1947 431 4
20 4103 2
2407 1659 5
4098 967 6
2630 4663 3
2111 2733 7
3471 3703 4
2909 4502 9
1527 3989 1
956 1676 10
3311 2690 5
77 426 1
4356 4202 5
3305 2224 10
972 3176 6
239 445 3
3948 2758 6
333 3162 1
3928 3557 8
2327 1697 4
699 1375 7
1056 3588 3
621 1732 10
190 4731 9
4366 4205 2
1070 900 2
866 3495 5
1031 3853 7
4614 3000 10
1951 3880 7
189 3551 6
4499 1211 3
3519 2069 3
3074 1265 3
3154 4781 3
4042 4417 6
2024 1142 4
2594 1539 7
403 1273 7
1229 2099 3
4161 2705 9
3464 4771 9
2417 834 3
4002 861 7
3608 3699 7
3914 4931 7
251 1790 10
1278 4821 8
1604 1981 8
492 3667 6
1076 1484 6
2633 1198 4
150 1999 5
4254 1673 6
218 1448 4
461 3582 2
1117 4276 6
4726 2458 10
1164 3102 4
1144 2594 10
1457 654 3
1326 2057 6
3556 4578 5
2604 1640 9
3883 1411 4
3392 3696 6
1342 3759 5
1556 158 5
4363 1735 6
3496 2197 5
480 733 6
3121 3298 4
362 3762 3
291 4462 2
3371 1543 7
2524 4818 5
3137 4964 2
470 2784 1
4321 2485 1
839 4901 8
4442 160 8
4488 3118 10
1159 687 2
559 2529 3
3454 711 1
4460 2661 5
2220 1474 2
4228 3950 9
4454 4422 8
2265 136 10
4891 4767 1
643 3739 3
4918 601 9
4604 4160 3
2247 4402 4
882 3833 5
4983 3440 7
160 3580 2
2733 4328 7
3501 1861 3
997 850 1
787 4242 1
134 3875 1
4712 4426 4
2145 4682 3
1180 4205 9
3149 3274 9
3254 1462 4
2504 3391 3
4019 1424 10
3965 988 3
3617 2876 8
1355 1391 9
2737 4745 2
3640 844 7
2337 4394 7
2952 1229 9
2913 642 6
1340 1587 1
2098 1236 2
1426 4353 10
3279 1516 4
3574 1737 8
2352 105 5
4701 1 7
23 606 9
3940 1422 6
2661 3741 8
1597 294 9
2256 2429 2
494 2880 10
2711 3263 4
3031 4289 2
1513 2388 3
2893 3460 6
555 2724 4
1591 3527 1
572 2942 10
3903 1834 4
2533 28 8
1020 1834 4
4458 2201 9
2065 4531 7
2196 155 6
770 2009 9
2047 2806 8
391 4525 10
2400 1099 6
207 4202 4
1399 2111 6
3848 834 9
4263 592 6
4680 1022 4
4823 208 5
1685 2917 4
3904 108 2
1957 2405 7
832 2609 6
109 2238 4
2014 3228 10
1866 4115 8
4953 2243 9
737 3159 2
217 3700 9
784 315 9
2732 2682 7
2237 4287 4
4785 2415 2
1380 4442 10
4835 3410 2
1889 3151 7
979 346 7
2214 1774 6
4459 37 5
3684 4618 3
4280 129 8
2245 2735 9
3921 2043 5
3459 1649 10
4451 4241 9
4297 2742 2
548 1508 8
970 1463 7
1035 313 5
1929 2461 10
4810 307 4
569 4026 9
1130 4995 8
4286 526 6
4127 4867 9
1016 4955 5
2508 1680 3
1768 4824 4
986 3278 3
910 4030 8
4627 339 2
489 4119 5
4810 1347 10
974 1589 4
1658 4708 2
4791 4346 8
33 1601 8
771 1041 3
2407 4544 2
525 458 9
6 562 6
983 3722 1
4926 2103 3
3172 993 6
4560 3762 6
3998 25 6
395 1559 3
1910 1888 3
465 4608 5
1561 2227 6
615 3447 5
1484 13 7
1921 2468 1
1208 904 2
3598 1079 4
4042 1772 7
2548 3410 9
183 4180 3
3992 1622 1
1807 3957 5
2253 119 1
3637 1708 6
4982 948 8
361 54 9
1428 4785 9
2400 4869 2
14 4490 1
2401 1241 2
3621 67 6
1621 3905 5
442 887 3
146 992 3
395 1282 3
4376 818 4
4845 133 1
3240 1359 8
4324 290 5
1103 2580 2
1943 315 4
23 306 7
638 133 3
3892 3381 9
1322 4491 5
2258 2800 3
3457 605 5
1995 47 5
685 2503 9
4486 3247 8
4278 4448 8
4384 489 5
4200 3105 3
4159 3058 7
2576 2836 10
1718 2530 8
4057 593 7
3369 2168 9
4577 1267 9
835 135 6
4886 866 5
3153 3669 4
2752 1849 9
2920 3030 1
1371 2703 3
1717 3406 6
465 2108 1
4768 851 5
3797 4722 6
3273 649 9
501 4443 2
2974 4058 9
1239 1677 4
2060 4658 10
3330 906 1
3333 3917 5
1060 4925 2
2691 3788 5
3653 2421 3
3730 304 5
1662 1780 1
3637 3983 1
814 4364 3
1957 963 1
3758 2086 10
2759 1982 8
2709 2526 8
4289 1255 4
3900 2703 9
3392 1436 5
4563 1473 8
2160 1595 1
3121 4388 8
3824 2952 7
2043 3777 2
2250 2056 2
1290 1151 8
2861 733 6
2833 2591 10
2391 268 2
2735 590 6
1390 1758 8
75 597 6
755 2627 2
4699 1342 2
124 233 8
1350 463 5
739 1564 7
3390 2676 4
2358 3722 2
1436 3340 3
1854 106 3
3377 4253 4
957 2172 9
4196 878 3
1725 4185 1
2873 2048 4
447 4435 8
866 3542 6
1198 3923 9
3064 777 9
759 764 2
1696 2955 4
2741 3266 5
1687 359 5
1789 2024 7
1964 941 3
2908 2512 4
1727 2991 8
2115 1861 9
4499 1925 6
198 4789 3
2193 3906 6
1848 3127 4
4189 4152 10
2463 3808 8
2476 606 10
1072 2551 3
819 908 4
758 2785 4
1455 4353 7
1436 3890 4
429 882 5
1445 3541 9
3111 331 2
4590 2933 5
312 2421 6
4072 4707 10
178 4613 3
4592 3591 8
3887 4562 8
4165 2230 5
3300 4444 5
1086 2214 7
2905 3441 4
4971 4595 5
2673 2763 9
3953 1062 2
3755 4451 9
2295 3277 1
4019 49 2
2766 3142 4
1935 4477 4
467 3334 5
2294 54 2
662 1508 9
1452 996 5
752 2704 4
1225 4132 10
440 756 9
1167 2826 7
1294 3316 5
3519 1316 9
2396 4428 1
649 287 6
2761 2050 8
2951 1022 5
2433 3851 1
4522 1531 5
4870 1353 9
584 3925 7
3162 2011 4
3846 4756 1
1782 3529 1
2864 2867 5
364 315 4
126 300 1
35 1534 6
1054 4801 5
1124 1857 2
4514 4749 3
217 583 8
2701 4746 4
4551 2856 9
3229 1487 10
3200 1328 4
4347 3634 10
2753 1965 6
1328 809 2
3455 2844 3
803 3881 8
2978 4223 9
139 3135 10
4043 2093 3
1271 1372 3
543 2712 4
4576 3355 7
160 4424 4
2649 165 9
1062 1134 2
4338 3151 4
3783 3916 4
2963 2274 7
2492 30 4
4206 1547 4
3354 1451 4
2052 3572 4
4338 3755 8
1375 3306 6
2371 2076 3
1390 1121 2
4173 3443 5
1567 4458 7
1660 4087 8
3277 109 6
1421 3442 5
1476 1603 2
2723 3466 3
3714 3460 3
337 106 5
1817 2063 5
277 4570 2
872 2412 5
425 3722 1
486 3932 4
3957 93 10
2678 1545 7
2316 501 6
1082 2375 7
3180 2879 4
3998 4433 4
1804 3990 6
1743 4633 10
4267 1459 3
236 1 9
3983 762 2
3126 1686 7
1751 3588 10
3825 1383 8
199 918 1
2979 1876 1
213 1876 7
1130 3354 1
4036 3698 8
868 529 4
175 2492 7
3828 1456 3
3777 4805 1
853 881 4
3318 4876 1
3642 4799 2
3997 4850 8
4007 1487 4
3328 3884 8
1530 118 2
3195 4715 9
1578 4721 3
4780 1491 1
4132 308 1
1452 4028 7
4271 3425 6
3764 3680 6
2524 3329 10
4667 2483 5
2570 738 6
2498 3479 5
977 60 9
4098 1165 6
3463 1879 10
3326 4349 7
3182 29 3
4892 1580 7
1276 2835 6
2816 1398 7
608 2349 3
2250 3815 7
3599 3708 5
3329 2390 5
97 2475 3
1234 3241 9
3848 2249 3
1359 494 7
3036 2129 7
2149 663 5
4217 4063 4
2129 4138 10
2145 758 3
921 1827 9
557 4111 4
3512 1968 3
4378 2581 4
4519 1141 2
1870 1378 4
3495 3746 1
262 4726 5
1109 1908 5
963 328 8
3980 4278 10
1116 2923 10
2670 3745 10
4465 3157 4
3000 493 3
1628 534 10
736 2980 6
4216 2109 3
4923 4307 6
4211 2634 5
951 2762 8
104 2458 4
4492 1030 9
4332 2455 6
393 2510 3
725 1580 3
944 3457 2
2615 1378 6
2739 2551 4
161 1336 6
841 1034 8
819 2621 8
218 4914 3
2880 1420 10
3177 3707 9
2278 803 6
1452 232 5
1840 1595 5
831 2349 8
2441 3791 1
2335 4490 8
1074 2980 3
4706 1362 7
1701 3278 3
2362 3780 4
75 4808 10
4172 2204 2
3866 3985 6
3108 1519 10
2528 4108 4
2840 3538 6
2512 720 8
2339 587 2
2657 4035 3
4975 243 10
822 2980 5
3766 532 1
2828 3848 3
2728 3405 9
3219 3228 10
380 4371 1
4781 875 4
1031 398 7
2162 130 5
4150 2455 5
1779 74 5
591 396 4
1819 2791 2
4483 2469 10
765 3226 3
2171 3882 2
1335 1293 1
468 3845 10
3670 2374 7
4458 1507 2
1131 2259 4
903 398 4
3935 2144 9
1577 3715 9
3872 4839 7
528 3829 5
4716 1806 9
1126 2995 2
2905 4567 2
4212 2345 7
457 4487 9
730 1981 8
2054 1233 7
3616 2154 1
4276 1438 6
3391 1480 1
1344 4268 7
4219 2754 9
1878 2966 1
3370 3710 10
1750 2775 9
2231 4860 3
4334 903 6
827 3923 5
4334 1648 4
4213 99 3
461 1449 6
787 623 6
183 1367 8
146 3285 5
4529 2367 7
4045 2456 9
3462 4685 5
4389 2737 2
3843 1501 10
129 449 3
2126 384 1
1267 4630 3
3131 1125 10
3133 855 2
1205 4120 5
2205 4710 3
2399 886 3
2349 548 6
4252 4999 10
1424 1921 4
807 1911 3
101 4796 6
3071 3077 5
3997 2110 6
1019 2227 4
4244 2032 10
4429 2873 6
955 535 2
400 2149 8
2747 449 7
1281 4159 4
4074 915 10
4136 2462 2
2359 4439 5
961 4910 6
4153 3586 10
505 3149 8
2532 3457 6
4566 122 5
3979 1548 5
2296 239 7
2147 1878 3
4541 3506 1
4509 1642 1
671 4855 3
469 1260 2
2277 235 9
4780 2128 4
1540 3560 10
600 905 8
145 4893 10
4581 3537 6
2627 1929 4
3818 1968 9
2367 2444 9
61 3461 3
4862 3761 3
1908 3782 8
1017 3346 2
3266 977 8
3146 3923 7
705 4869 9
4771 788 1
2561 1022 7
2462 723 5
4439 79 8
4918 1722 3
2794 1915 1
3999 1162 10
2773 2494 9
3740 4587 2
3666 4822 5
950 1742 2
1286 3131 1
4604 1624 3
1960 1744 5
3542 3734 4
766 2093 3
1639 4055 9
1002 1824 5
96 1094 3
355 2595 10
4500 1596 7
3000 2634 5
1561 3334 5
4294 349 9
552 1612 1
2817 608 1
1829 4231 7
4258 263 10
1065 2178 4
3557 682 2
1285 4281 10
611 815 2
965 4518 3
3771 2065 2
4734 2247 3
4755 2417 5
1501 4434 2
53 2370 7
2955 3644 8
3650 4056 7
2095 3311 8
3041 4400 10
1157 2651 4
2452 4455 4
3467 1056 7
1233 3745 1
729 2601 10
2680 503 8
2165 2101 4
4998 2638 2
3283 1398 10
2198 3051 8
1981 1387 3
2504 2308 3
2209 372 6
1769 1562 7
4067 1803 1
3273 127 4
1201 3559 7
1598 3436 7
3398 720 1
3203 2769 8
2375 382 2
3867 1192 10
2213 2013 1
2400 1775 5
3249 770 3
675 908 3
4430 207 7
4129 3741 7
3629 1317 1
2297 3598 3
3631 2974 9
4529 4898 6
3429 1164 10
1884 3450 9
4323 3187 1
4699 1149 3
4528 936 10
891 1844 7
2383 3413 6
1496 3417 9
2172 2337 1
2513 4288 2
4828 1147 2
3670 2047 6
250 1933 1
3043 431 6
1703 153 10
270 2442 4
4722 4920 1
3872 1540 9
2807 3157 5
2798 3360 9
1216 4564 9
1200 4335 2
4917 1386 1
975 655 5
1695 2123 6
1976 664 7
3930 2872 2
2439 1749 5
1124 4003 7
1876 3616 10
2469 4474 4
3385 2012 3
2973 970 10
2694 68 9
4099 4464 8
635 1084 5
3315 3931 7
1639 3507 2
2636 3477 7
826 4091 9
300 1640 7
1701 1746 3
1250 588 4
754 1034 8
1373 3775 4
404 1052 7
676 1319 10
3248 3521 6
3832 282 2
3432 4007 3
3356 3201 2
3843 4429 5
4226 1034 9
1057 1156 9
1133 2733 1
1552 288 6
2920 2092 5
840 1918 10
656 3022 10
3846 4041 7
17 1168 5
4338 2038 10
616 2921 2
2698 1981 5
4694 4550 1
1474 4918 5
3459 1936 8
2612 3678 9
1009 346 9
3349 1084 4
3924 4232 5
2841 2362 10
3132 4217 1
960 4913 3
2654 4485 2
2227 382 3
2883 4604 6
2700 1258 5
2251 869 8
3942 4875 3
1363 4869 6
2270 2085 1
4541 1235 9
3132 417 7
2827 1944 1
3448 2463 2
3035 2597 10
628 2267 10
3 252 2
788 4485 9
2840 4616 1
1431 195 10
1500 2451 4
2659 1065 10
1896 2643 9
3924 1590 8
2656 406 10
1153 959 9
1804 482 9
1804 450 9
2075 4653 5
2075 2208 9
1831 1828 7
4072 2015 8
3058 4309 9
4972 1702 5
2489 3215 5
3545 3131 1
2090 2227 6
4268 4848 9
579 4122 8
225 3562 1
4842 465 4
4786 447 10
3435 2171 8
2833 2692 1
4525 782 2
3868 1641 2
2921 1739 4
3691 4800 5
4650 2739 5
3821 3302 5
1379 4447 1
2489 1713 5
77 4900 10
3071 2168 7
790 4417 9
3046 936 3
2315 300 5
2065 3504 6
2269 3351 2
4675 2618 6
1522 3196 1
1058 4942 4
2062 1634 9
2805 146 1
4398 1645 10
1983 2376 2
706 2753 2
1614 4249 4
2387 4628 3
1002 4894 6
468 79 4
32 484 3
3726 2110 5
20 580 1
2005 1523 1
402 2318 8
2366 1749 9
1605 2505 9
4903 134 7
132 1103 1
3795 3945 3
3273 1727 5
1976 2675 9
1301 2028 8
2492 1899 7
2830 4484 10
4128 3235 4
2184 1193 6
4895 4782 1
1955 2983 2
2262 3318 2
4139 556 7
3203 1959 9
2867 4390 2
3744 465 3
3464 1626 7
3402 280 7
3187 2319 4
457 1372 3
2015 3399 8
2173 4431 3
4288 3205 4
3542 4723 5
1364 3785 3
2167 332 1
1652 1861 7
2563 2632 8
4206 1750 4
2710 3147 10
4739 912 4
4283 1975 8
3872 2703 10
2999 3751 5
426 4402 3
767 1219 5
3059 1500 8
2105 2544 2
2984 4724 2
3865 3304 1
1291 3545 9
4707 3198 1
975 2718 7
160 4296 9
4553 1569 6
985 4334 5
556 1625 2
2285 2122 8
538 4641 4
3244 1989 8
2182 3732 9
3630 711 10
87 4407 8
2002 3900 2
4300 3092 8
2082 487 1
2821 995 1
1245 4987 9
1307 1016 5
86 2213 2
4597 910 6
231 689 6
1838 917 7
951 134 10
4966 4978 6
822 3595 2
3430 4390 2
929 904 2
4938 185 7
51 571 4
2837 32 1
4838 2512 1
4847 3026 10
4065 4843 7
3918 3381 8
842 3029 1
1728 424 8
4811 1122 6
1511 1990 1
4285 1852 5
1347 685 2
1798 4574 2
4442 6 3
1922 3011 8
2612 255 6
1360 3243 5
2240 3299 7
2951 1250 8
4138 4113 7
664 3652 3
1943 431 7
3821 4271 10
608 3876 6
4607 263 4
262 3616 7
4378 4466 8
767 3310 8
3911 942 1
2847 4876 4
1604 2617 8
1099 67 3
779 1588 6
2717 4592 2
3705 1269 1
4004 4674 3
1671 3877 10
214 763 8
2924 788 3
3453 1051 9
2936 529 4
3067 1261 2
3161 1352 6
3810 2335 4
1094 2394 6
613 4117 2
2460 576 4
590 1928 6
1888 1236 7
331 147 6
3134 2877 1
4043 4522 3
895 997 4
1698 4306 4
1752 649 4
3791 1657 2
4904 1862 6
3395 537 8
4693 4044 4
1995 1396 8
4684 1513 6
3876 3627 7
3443 2847 1
1613 2289 10
2049 3611 7
1744 789 1
545 892 8
2208 146 4
3157 4412 9
3937 776 6
3758 517 1
1739 1536 7
1393 2101 7
4119 23 4
217 2069 9
912 4407 8
92 3065 6
449 4161 7
3876 773 1
1470 1266 6
2466 2367 3
4052 3155 4
3038 2680 9
2938 3079 7
1036 1647 7
3882 2495 4
3368 4321 6
3841 2725 4
4656 652 9
646 249 7
2143 4387 6
4433 1244 6
1947 2050 3
4125 1299 2
827 377 4
4073 4924 10
2165 2064 9
4526 278 3
23 4688 7
206 1106 3
1621 4887 6
2101 1684 9
2201 4690 3
2272 2433 10
2294 3860 8
2357 2059 3
4643 3596 2
4004 3333 6
2450 227 2
1645 587 4
1307 4338 8
1916 2572 8
821 765 2
445 579 7
4351 2186 7
3516 24 5
2109 4019 4
3145 4976 5
1892 2791 2
207 1407 10
1784 1443 1
213 55 3
2096 232 2
1697 3173 10
3669 3090 7
842 3669 2
1878 2360 1
4214 741 5
2742 2012 2
5000 684 10
4689 2407 7
2644 2530 8
3782 1464 1
292 2407 5
844 3608 2
492 684 8
3295 168 2
956 425 10
2449 3045 8
4503 3320 2
1519 776 3
1537 1731 6
3624 4841 8
2807 2080 1
2459 196 6
4269 4411 2
2185 2140 9
3540 605 7
4835 319 2
4846 3540 4
4284 4700 7
3784 569 5
1447 1449 7
3017 3227 1
1737 3298 10
3541 281 8
282 3426 9
3683 3864 5
1219 3779 10
293 2201 9
942 925 9
4820 1133 7
1681 3017 1
1466 2706 5
1591 1863 5
341 914 4
1016 3714 4
2752 697 8
2596 3327 1
1884 4146 7
3066 3975 10
4425 4658 8
1506 400 6
1565 1047 1
3435 3679 4
4240 180 2
1194 1301 5
4612 3684 9
4005 2501 9
1903 3381 6
1862 1549 10
1216 636 6
1241 984 7
4685 3393 4
2119 2528 6
1539 4542 6
1672 3450 5
1474 4510 8
4145 641 7
1944 668 9
2210 2451 2
2014 3163 9
3 916 1
4435 2259 9
3791 1935 8
4218 465 9
1161 2058 1
415 1365 3
3315 974 5
156 3810 8
4476 4747 7
365 980 6
2743 3626 9
3081 2641 6
2388 3579 4
3881 1577 3
4852 87 1
4990 2497 1
1923 4897 6
3282 2862 5
162 1910 3
4800 226 8
533 3660 4
1361 1599 6
2730 3178 2
4469 1064 3
3886 3943 8
2049 279 8
4863 839 5
3147 581 6
1244 574 8
4561 1913 9
4716 1792 10
4992 2178 5
3174 3738 10
318 662 8
3393 4329 6
1273 721 6
532 1818 8
3324 2502 6
3775 2492 4
3023 2749 5
992 3779 3
3183 730 2
3382 1760 10
3687 3646 8
2765 2513 1
2509 2016 7
3492 3895 2
1354 511 1
4550 4206 4
4183 3447 10
2824 3222 1
1789 3554 8
4585 4699 9
2328 1349 3
4687 3419 1
4449 1694 5
4077 1830 3
3541 2686 8
4390 1530 8
1270 3758 8
3329 2323 10
646 3856 9
1800 2513 2
2363 2493 6
2551 3549 9
2732 4444 7
753 4046 9
3073 1160 6
4672 1935 3
2051 423 10
1004 2669 5
2586 476 6
3048 1647 7
2610 3625 2
4241 3511 1
1220 129 2
3701 1498 4
1113 3412 6
3170 2231 7
3 934 10
2827 2094 9
1171 145 1
2584 1814 4
2494 4094 9
2451 436 2
269 4927 1
4553 1138 1
4081 2018 4
3332 2500 4
4333 1052 7
2916 1339 6
1923 385 4
777 4311 6
1183 104 4
1334 1463 4
3712 3749 1
774 4687 9
2428 983 4
3487 3615 1
3962 551 5
476 3689 4
1988 4111 4
1272 4273 6
2060 1341 3
1556 1982 1
4710 4171 2
4696 2071 4
2328 2321 7
2651 2015 4
2998 1934 8
4743 1128 6
666 2405 2
3282 1064 8
1894 4699 5
4617 1206 6
4372 886 4
2257 966 5
2048 2492 6
734 4672 6
2572 1774 8
3371 4675 4
3235 96 8
3761 4225 4
1251 117 3
892 2682 1
2332 1618 2
1623 553 10
71 3050 4
1026 2823 6
1720 3087 6
4865 851 9
2276 437 5
4538 4921 7
2631 4903 5
125 2367 4
4414 1625 2
740 3058 7
3803 3375 2
1473 3777 1
2650 1000 1
4536 2638 9
1642 1101 5
2266 3378 1
3447 2726 1
754 3259 9
560 2053 9
4219 4133 3
3247 3513 10
4059 1337 5
865 4324 6
3144 1885 10
1114 4320 3
1458 1178 4
2846 3810 8
365 4437 8
2693 387 1
674 140 7
2125 12 1
242 1760 2
1687 1660 3
4804 1572 3
1175 602 1
4977 1715 6
3022 1212 4
2608 1725 5
4188 4790 10
2379 3152 10
3528 2303 5
3671 2786 8
3002 3213 3
4191 4716 2
1731 3020 1
3437 201 6
166 4554 6
1299 676 7
3737 1623 7
3396 1001 3
1866 3656 2
1807 3083 5
4470 4873 3
4307 1461 6
2328 823 4
967 1240 5
4045 481 5
400 9 7
1790 2691 4
2985 2134 2
1363 1940 5
4051 4877 7
1003 3720 10
1271 427 1
257 3306 9
1917 1960 3
4616 4346 2
1799 1918 4
2968 506 4
2367 3991 9
3203 2580 7
1048 123 8
2497 4049 4
663 1486 7
1441 4934 9
4815 1889 4
4179 3550 2
3128 2558 9
1331 1587 7
4442 2014 4
2304 753 6
2672 3481 5
1530 227 10
684 1994 5
2298 3404 8
1911 3434 9
4989 2510 6
1586 4033 7
986 3009 6
1854 1576 3
4179 3202 1
3068 1693 7
4130 1598 4
4646 4413 4
1276 4598 2
4759 4731 4
4461 2573 9
4946 4114 10
2429 3870 2
3425 853 3
2787 2568 4
1191 2093 3
1397 2737 5
654 145 8
3633 1693 10
874 4655 6
1513 217 3
3203 2048 8
2433 2766 8
3777 3055 5
2535 3314 9
1960 4218 6
2974 4235 5
54 67 7
1297 2918 2
3738 711 9
3282 859 6
2713 1448 3
3736 2256 10
1657 2161 2
4708 1048 1
1948 3160 8
3452 3311 2
1110 2241 10
1236 3425 5
4708 1220 5
3738 3548 3
2257 680 5
2194 4814 5
326 1106 6
2717 767 2
3073 2128 9
447 1654 10
1152 201 6
2896 4310 6
4452 2377 8
1233 1460 5
1777 1891 10
1635 550 8
1561 3392 1
4533 4691 7
3554 1594 1
1356 1503 5
1156 4709 4
4944 2583 6
1398 1999 8
4472 2690 4
1746 4373 5
1807 2302 5
4479 2415 2
4170 3053 8
1572 352 6
2729 3973 8
1194 4983 5
3539 2490 6
1032 3283 9
3521 3639 9
1717 2098 10
2211 4900 3
1285 4345 2
2264 4003 10
2264 112 2
680 2060 9
4078 1334 5
4515 868 2
2945 4042 5
1469 2002 3
4971 4348 1
3273 342 4
852 739 10
1781 3390 5
2220 3338 3
3584 3895 10
3713 1873 3
8 4736 8
838 1514 5
4937 1003 6
2031 157 7
4309 3702 3
2834 1258 3
2857 572 8
4138 2039 9
457 3550 9
2692 3933 7
1249 2554 4
112 3606 7
4391 3412 7
3569 147 6
1889 2926 2
81 2103 7
4537 334 3
1404 167 1
1000 1044 2
511 1252 7
4238 1813 8
2129 511 4
3624 3858 4
2499 2063 2
2757 2333 10
706 1418 3
4712 3419 9
2194 79 10
4649 2696 1
2089 749 8
3290 3256 7
1279 307 9
2581 2791 1
3015 4951 3
583 1633 6
3898 1133 7
3930 1618 5
3021 4398 7
2015 4591 5
1081 2049 2
3015 1442 5
2880 529 9
3989 21 6
301 3533 9
4753 788 10
113 3000 6
2307 3055 1
3368 4547 9
4355 3880 7
372 2649 5
642 2075 3
900 1518 10
103 2290 3
265 917 9
4773 2047 2
2134 1506 5
342 2480 2
3889 4010 10
4191 3770 3
2140 1736 7
4494 2860 5
4274 1474 7
2954 3431 1
1901 2104 8
3338 4492 3
1198 1476 6
2034 3535 10
1719 2319 4
3638 839 1
2904 3274 6
2161 4357 8
1094 2963 10
3058 2849 1
4272 3363 4
45 3231 4
1675 3909 3
1623 299 10
1640 2835 7
4647 1874 3
4841 2071 5
1016 2460 8
224 1896 7
949 4086 1
2575 2542 4
3244 28 7
2718 253 5
27 172 8
1634 634 5
2450 4738 10
3257 917 7
101 3101 8
3643 4940 1
3827 3619 10
926 40 2
4177 1156 2
920 4032 6
1182 4317 9
3171 2610 3
355 2701 6
3526 2355 2
832 2268 2
1509 1582 7
4545 2111 1
2423 790 10
284 3476 5
4973 1796 2
3800 4272 4
4152 3516 7
794 1360 6
2551 1019 7
542 7 2
4157 2265 5
2978 345 5
1189 843 5
2594 4303 6
2456 3365 5
2419 298 8
2232 2674 9
2049 4049 10
4943 3735 5
1407 3755 10
1280 3762 6
4515 3346 6
1893 3029 3
3954 4604 10
4854 728 3
1926 3711 9
611 578 3
2427 4100 3
2687 2169 2
826 2053 6
663 1217 10
2866 2777 2
4675 4465 3
3244 3941 9
2477 867 8
723 4682 10
1822 1948 5
551 2159 9
1501 780 3
1314 427 5
3525 3673 2
2760 1390 1
3436 2051 10
4408 4696 5
541 259 9
2696 1876 2
3543 3201 3
181 4340 6
512 4850 4
1336 38 6
2932 1121 4
255 4300 3
4704 3698 4
3721 2834 4
1466 2281 2
4434 255 10
1217 3730 1
4002 4455 2
172 561 5
3024 3560 10
2233 640 5
710 4206 10
4482 3522 3
1955 4047 10
3362 4051 8
173 4247 2
592 712 9
3353 4643 9
395 3306 4
2577 2302 8
3033 4300 7
1024 1620 8
4203 3364 5
1900 502 4
4494 3835 3
3042 2256 5
1519 3743 1
896 2350 1
3843 371 1
1803 435 4
3309 3829 3
3448 2811 1
1171 1896 3
3368 3492 9
705 1316 2
3222 4589 10
1412 3618 6
851 3213 4
295 3989 1
3268 1758 7
3501 2746 3
797 4234 8
3569 2504 4
3719 935 5
718 4596 9
2499 2653 6
1419 3382 4
73 2437 9
800 2711 6
4021 2192 9
541 3727 4
3607 2571 3
3606 4547 7
482 3868 10
504 4645 7
859 2905 3
2771 3819 2
2328 2657 9
1099 496 6
2746 1500 2
749 1140 6
4115 2830 3
4799 1948 5
2312 2047 1
1618 652 4
3068 4107 7
3498 3433 1
507 794 1
2393 2063 2
2581 388 4
2488 130 1
3725 66 2
3652 766 3
1514 3849 7
1656 3376 8
15 3713 9
116 3873 1
3226 4979 5
2813 784 6
523 4534 5
1292 4735 1
982 744 7
3075 594 6
4352 2231 5
4154 4403 4
114 2066 2
2308 2979 8
1436 1933 1
1706 4225 2
4818 651 8
530 2550 6
3013 3728 3
1125 3106 6
2743 1741 10
975 223 6
4689 4044 9
1466 3005 9
1314 738 1
1035 3536 7
3975 1099 7
2851 583 3
2256 2431 5
549 528 4
1669 4908 9
610 437 2
583 4181 6
2957 2241 4
4508 404 7
1196 2655 2
1120 1145 7
3864 4961 2
